the 		 -> 4 cluster
head 		 -> 12 cluster
ago 		 -> 18 cluster
night 		 -> 18 cluster
big 		 -> 19 cluster
cup 		 -> 2 cluster
election 		 -> 3 cluster
region 		 -> 5 cluster
director 		 -> 12 cluster
talks 		 -> 15 cluster
program 		 -> 10 cluster
far 		 -> 4 cluster
today 		 -> 4 cluster
statement 		 -> 12 cluster
july 		 -> 7 cluster
although 		 -> 4 cluster
district 		 -> 5 cluster
again 		 -> 18 cluster
born 		 -> 8 cluster
development 		 -> 10 cluster
leaders 		 -> 3 cluster
council 		 -> 12 cluster
close 		 -> 18 cluster
record 		 -> 2 cluster
along 		 -> 5 cluster
county 		 -> 5 cluster
france 		 -> 15 cluster
went 		 -> 18 cluster
point 		 -> 18 cluster
must 		 -> 20 cluster
spokesman 		 -> 12 cluster
your 		 -> 19 cluster
member 		 -> 12 cluster
plan 		 -> 10 cluster
financial 		 -> 14 cluster
april 		 -> 7 cluster
recent 		 -> 13 cluster
campaign 		 -> 3 cluster
become 		 -> 4 cluster
troops 		 -> 17 cluster
whether 		 -> 20 cluster
lost 		 -> 18 cluster
music 		 -> 0 cluster
15 		 -> 1 cluster
got 		 -> 19 cluster
israeli 		 -> 17 cluster
30 		 -> 1 cluster
need 		 -> 20 cluster
4 		 -> 1 cluster
lead 		 -> 2 cluster
already 		 -> 4 cluster
russia 		 -> 15 cluster
though 		 -> 4 cluster
might 		 -> 20 cluster
free 		 -> 20 cluster
hit 		 -> 18 cluster
rights 		 -> 11 cluster
11 		 -> 1 cluster
information 		 -> 10 cluster
away 		 -> 18 cluster
12 		 -> 1 cluster
5 		 -> 1 cluster
others 		 -> 4 cluster
control 		 -> 10 cluster
within 		 -> 4 cluster
large 		 -> 4 cluster
economy 		 -> 13 cluster
press 		 -> 12 cluster
agency 		 -> 12 cluster
water 		 -> 4 cluster
died 		 -> 16 cluster
career 		 -> 2 cluster
making 		 -> 4 cluster
... 		 -> 19 cluster
deal 		 -> 20 cluster
attack 		 -> 17 cluster
side 		 -> 18 cluster
seven 		 -> 9 cluster
better 		 -> 19 cluster
less 		 -> 4 cluster
september 		 -> 7 cluster
once 		 -> 4 cluster
clinton 		 -> 3 cluster
main 		 -> 5 cluster
due 		 -> 4 cluster
committee 		 -> 12 cluster
building 		 -> 6 cluster
conference 		 -> 12 cluster
club 		 -> 2 cluster
january 		 -> 7 cluster
decision 		 -> 20 cluster
stock 		 -> 14 cluster
america 		 -> 15 cluster
given 		 -> 4 cluster
give 		 -> 20 cluster
often 		 -> 4 cluster
announced 		 -> 12 cluster
television 		 -> 0 cluster
industry 		 -> 10 cluster
order 		 -> 20 cluster
young 		 -> 16 cluster
've 		 -> 19 cluster
palestinian 		 -> 17 cluster
age 		 -> 9 cluster
start 		 -> 18 cluster
administration 		 -> 12 cluster
russian 		 -> 15 cluster
prices 		 -> 14 cluster
round 		 -> 2 cluster
december 		 -> 7 cluster
nations 		 -> 15 cluster
'm 		 -> 19 cluster
human 		 -> 11 cluster
india 		 -> 15 cluster
defense 		 -> 12 cluster
asked 		 -> 12 cluster
total 		 -> 9 cluster
october 		 -> 7 cluster
players 		 -> 2 cluster
bill 		 -> 3 cluster
important 		 -> 4 cluster
southern 		 -> 5 cluster
move 		 -> 20 cluster
fire 		 -> 17 cluster
population 		 -> 9 cluster
rose 		 -> 14 cluster
november 		 -> 7 cluster
include 		 -> 4 cluster
further 		 -> 13 cluster
nuclear 		 -> 15 cluster
street 		 -> 8 cluster
taken 		 -> 4 cluster
media 		 -> 10 cluster
different 		 -> 4 cluster
issue 		 -> 15 cluster
received 		 -> 7 cluster
secretary 		 -> 12 cluster
return 		 -> 20 cluster
college 		 -> 8 cluster
working 		 -> 10 cluster
community 		 -> 10 cluster
eight 		 -> 9 cluster
groups 		 -> 4 cluster
despite 		 -> 18 cluster
level 		 -> 13 cluster
largest 		 -> 14 cluster
whose 		 -> 16 cluster
attacks 		 -> 17 cluster
germany 		 -> 15 cluster
august 		 -> 7 cluster
change 		 -> 20 cluster
church 		 -> 6 cluster
nation 		 -> 15 cluster
german 		 -> 15 cluster
station 		 -> 5 cluster
london 		 -> 8 cluster
weeks 		 -> 18 cluster
having 		 -> 4 cluster
18 		 -> 1 cluster
research 		 -> 10 cluster
black 		 -> 16 cluster
services 		 -> 10 cluster
story 		 -> 0 cluster
6 		 -> 1 cluster
europe 		 -> 15 cluster
sales 		 -> 14 cluster
policy 		 -> 10 cluster
visit 		 -> 15 cluster
northern 		 -> 5 cluster
lot 		 -> 19 cluster
across 		 -> 5 cluster
per 		 -> 9 cluster
current 		 -> 10 cluster
board 		 -> 12 cluster
football 		 -> 2 cluster
ministry 		 -> 12 cluster
workers 		 -> 9 cluster
vote 		 -> 3 cluster
book 		 -> 0 cluster
fell 		 -> 14 cluster
seen 		 -> 4 cluster
role 		 -> 10 cluster
students 		 -> 9 cluster
shares 		 -> 14 cluster
iran 		 -> 15 cluster
process 		 -> 10 cluster
agreement 		 -> 15 cluster
quarter 		 -> 14 cluster
full 		 -> 20 cluster
match 		 -> 2 cluster
started 		 -> 18 cluster
growth 		 -> 13 cluster
yet 		 -> 20 cluster
moved 		 -> 8 cluster
possible 		 -> 20 cluster
western 		 -> 5 cluster
special 		 -> 10 cluster
100 		 -> 9 cluster
plans 		 -> 10 cluster
interest 		 -> 13 cluster
behind 		 -> 18 cluster
strong 		 -> 13 cluster
england 		 -> 2 cluster
named 		 -> 6 cluster
food 		 -> 10 cluster
period 		 -> 18 cluster
real 		 -> 19 cluster
authorities 		 -> 11 cluster
car 		 -> 18 cluster
term 		 -> 13 cluster
rate 		 -> 13 cluster
race 		 -> 2 cluster
nearly 		 -> 9 cluster
korea 		 -> 15 cluster
enough 		 -> 19 cluster
site 		 -> 6 cluster
opposition 		 -> 3 cluster
keep 		 -> 20 cluster
25 		 -> 1 cluster
call 		 -> 20 cluster
future 		 -> 20 cluster
taking 		 -> 20 cluster
island 		 -> 5 cluster
2008 		 -> 7 cluster
2006 		 -> 7 cluster
road 		 -> 5 cluster
outside 		 -> 5 cluster
really 		 -> 19 cluster
century 		 -> 6 cluster
democratic 		 -> 3 cluster
almost 		 -> 9 cluster
single 		 -> 0 cluster
share 		 -> 14 cluster
leading 		 -> 18 cluster
trying 		 -> 20 cluster
find 		 -> 19 cluster
album 		 -> 0 cluster
senior 		 -> 12 cluster
minutes 		 -> 18 cluster
together 		 -> 4 cluster
congress 		 -> 3 cluster
index 		 -> 14 cluster
australia 		 -> 15 cluster
results 		 -> 2 cluster
hard 		 -> 19 cluster
hours 		 -> 18 cluster
land 		 -> 5 cluster
action 		 -> 20 cluster
higher 		 -> 13 cluster
field 		 -> 2 cluster
cut 		 -> 14 cluster
coach 		 -> 2 cluster
elections 		 -> 3 cluster
san 		 -> 8 cluster
issues 		 -> 10 cluster
executive 		 -> 12 cluster
february 		 -> 7 cluster
production 		 -> 10 cluster
areas 		 -> 5 cluster
river 		 -> 5 cluster
face 		 -> 20 cluster
using 		 -> 4 cluster
japanese 		 -> 13 cluster
province 		 -> 5 cluster
park 		 -> 8 cluster
price 		 -> 14 cluster
commission 		 -> 12 cluster
california 		 -> 8 cluster
father 		 -> 16 cluster
son 		 -> 16 cluster
education 		 -> 10 cluster
7 		 -> 1 cluster
village 		 -> 5 cluster
energy 		 -> 10 cluster
shot 		 -> 18 cluster
short 		 -> 18 cluster
africa 		 -> 15 cluster
key 		 -> 10 cluster
red 		 -> 18 cluster
association 		 -> 12 cluster
average 		 -> 9 cluster
pay 		 -> 14 cluster
exchange 		 -> 14 cluster
eu 		 -> 15 cluster
something 		 -> 19 cluster
gave 		 -> 18 cluster
likely 		 -> 20 cluster
player 		 -> 2 cluster
george 		 -> 8 cluster
2007 		 -> 7 cluster
victory 		 -> 2 cluster
8 		 -> 1 cluster
low 		 -> 13 cluster
things 		 -> 19 cluster
2010 		 -> 7 cluster
pakistan 		 -> 17 cluster
14 		 -> 1 cluster
post 		 -> 12 cluster
social 		 -> 10 cluster
continue 		 -> 20 cluster
ever 		 -> 19 cluster
look 		 -> 19 cluster
chairman 		 -> 12 cluster
job 		 -> 19 cluster
2000 		 -> 7 cluster
soldiers 		 -> 17 cluster
able 		 -> 20 cluster
parliament 		 -> 3 cluster
front 		 -> 18 cluster
himself 		 -> 16 cluster
problems 		 -> 4 cluster
private 		 -> 10 cluster
lower 		 -> 13 cluster
list 		 -> 4 cluster
built 		 -> 6 cluster
13 		 -> 1 cluster
efforts 		 -> 10 cluster
dollar 		 -> 14 cluster
miles 		 -> 5 cluster
included 		 -> 4 cluster
radio 		 -> 0 cluster
live 		 -> 0 cluster
form 		 -> 4 cluster
david 		 -> 8 cluster
african 		 -> 15 cluster
increase 		 -> 13 cluster
reports 		 -> 12 cluster
sent 		 -> 18 cluster
fourth 		 -> 2 cluster
always 		 -> 19 cluster
king 		 -> 6 cluster
50 		 -> 9 cluster
tax 		 -> 14 cluster
taiwan 		 -> 13 cluster
britain 		 -> 15 cluster
16 		 -> 1 cluster
playing 		 -> 2 cluster
title 		 -> 2 cluster
middle 		 -> 5 cluster
meet 		 -> 15 cluster
global 		 -> 13 cluster
wife 		 -> 16 cluster
2009 		 -> 7 cluster
position 		 -> 20 cluster
located 		 -> 5 cluster
clear 		 -> 20 cluster
ahead 		 -> 18 cluster
2004 		 -> 7 cluster
2005 		 -> 7 cluster
iraqi 		 -> 17 cluster
english 		 -> 6 cluster
result 		 -> 4 cluster
release 		 -> 0 cluster
violence 		 -> 17 cluster
goal 		 -> 2 cluster
project 		 -> 10 cluster
closed 		 -> 18 cluster
border 		 -> 5 cluster
body 		 -> 16 cluster
soon 		 -> 18 cluster
crisis 		 -> 13 cluster
division 		 -> 2 cluster
&amp; 		 -> 14 cluster
served 		 -> 8 cluster
tour 		 -> 2 cluster
hospital 		 -> 8 cluster
kong 		 -> 13 cluster
test 		 -> 2 cluster
hong 		 -> 13 cluster
u.n. 		 -> 15 cluster
inc. 		 -> 14 cluster
technology 		 -> 10 cluster
believe 		 -> 20 cluster
organization 		 -> 10 cluster
published 		 -> 0 cluster
weapons 		 -> 17 cluster
agreed 		 -> 15 cluster
why 		 -> 19 cluster
nine 		 -> 9 cluster
summer 		 -> 7 cluster
wanted 		 -> 20 cluster
republican 		 -> 3 cluster
act 		 -> 11 cluster
recently 		 -> 12 cluster
texas 		 -> 8 cluster
course 		 -> 19 cluster
problem 		 -> 20 cluster
senate 		 -> 3 cluster
medical 		 -> 10 cluster
un 		 -> 15 cluster
done 		 -> 19 cluster
reached 		 -> 18 cluster
star 		 -> 2 cluster
continued 		 -> 18 cluster
investors 		 -> 14 cluster
living 		 -> 9 cluster
care 		 -> 10 cluster
signed 		 -> 7 cluster
17 		 -> 1 cluster
art 		 -> 6 cluster
provide 		 -> 10 cluster
worked 		 -> 8 cluster
presidential 		 -> 3 cluster
gold 		 -> 2 cluster
obama 		 -> 3 cluster
morning 		 -> 18 cluster
dead 		 -> 9 cluster
opened 		 -> 18 cluster
'll 		 -> 19 cluster
event 		 -> 2 cluster
previous 		 -> 7 cluster
cost 		 -> 14 cluster
instead 		 -> 20 cluster
canada 		 -> 15 cluster
band 		 -> 0 cluster
teams 		 -> 2 cluster
daily 		 -> 0 cluster
2001 		 -> 7 cluster
available 		 -> 4 cluster
drug 		 -> 11 cluster
coming 		 -> 18 cluster
2003 		 -> 7 cluster
investment 		 -> 14 cluster
’s 		 -> 6 cluster
michael 		 -> 8 cluster
civil 		 -> 11 cluster
woman 		 -> 16 cluster
training 		 -> 10 cluster
appeared 		 -> 0 cluster
9 		 -> 1 cluster
involved 		 -> 11 cluster
indian 		 -> 5 cluster
similar 		 -> 4 cluster
situation 		 -> 20 cluster
24 		 -> 1 cluster
los 		 -> 8 cluster
running 		 -> 18 cluster
fighting 		 -> 17 cluster
mark 		 -> 8 cluster
40 		 -> 9 cluster
trial 		 -> 11 cluster
hold 		 -> 20 cluster
australian 		 -> 2 cluster
thought 		 -> 19 cluster
! 		 -> 19 cluster
study 		 -> 10 cluster
fall 		 -> 18 cluster
mother 		 -> 16 cluster
met 		 -> 12 cluster
relations 		 -> 15 cluster
anti 		 -> 17 cluster
2002 		 -> 7 cluster
song 		 -> 0 cluster
popular 		 -> 0 cluster
base 		 -> 5 cluster
tv 		 -> 0 cluster
ground 		 -> 18 cluster
markets 		 -> 14 cluster
ii 		 -> 6 cluster
newspaper 		 -> 0 cluster
staff 		 -> 12 cluster
saw 		 -> 18 cluster
hand 		 -> 20 cluster
hope 		 -> 20 cluster
operations 		 -> 10 cluster
pressure 		 -> 20 cluster
americans 		 -> 9 cluster
eastern 		 -> 5 cluster
st. 		 -> 8 cluster
legal 		 -> 11 cluster
asia 		 -> 13 cluster
budget 		 -> 10 cluster
returned 		 -> 18 cluster
considered 		 -> 4 cluster
love 		 -> 19 cluster
wrote 		 -> 0 cluster
stop 		 -> 20 cluster
fight 		 -> 20 cluster
currently 		 -> 10 cluster
charges 		 -> 11 cluster
try 		 -> 20 cluster
aid 		 -> 15 cluster
ended 		 -> 18 cluster
management 		 -> 10 cluster
brought 		 -> 18 cluster
cases 		 -> 11 cluster
decided 		 -> 20 cluster
failed 		 -> 20 cluster
network 		 -> 10 cluster
works 		 -> 6 cluster
gas 		 -> 14 cluster
turned 		 -> 18 cluster
fact 		 -> 4 cluster
vice 		 -> 12 cluster
ca 		 -> 19 cluster
mexico 		 -> 5 cluster
trading 		 -> 14 cluster
especially 		 -> 4 cluster
reporters 		 -> 12 cluster
afghanistan 		 -> 17 cluster
common 		 -> 4 cluster
looking 		 -> 19 cluster
space 		 -> 10 cluster
rates 		 -> 13 cluster
manager 		 -> 8 cluster
loss 		 -> 2 cluster
2011 		 -> 7 cluster
justice 		 -> 11 cluster
thousands 		 -> 9 cluster
james 		 -> 8 cluster
rather 		 -> 4 cluster
fund 		 -> 10 cluster
thing 		 -> 19 cluster
republic 		 -> 15 cluster
opening 		 -> 18 cluster
accused 		 -> 11 cluster
winning 		 -> 2 cluster
scored 		 -> 2 cluster
championship 		 -> 2 cluster
example 		 -> 4 cluster
getting 		 -> 19 cluster
biggest 		 -> 14 cluster
performance 		 -> 2 cluster
sports 		 -> 2 cluster
1998 		 -> 7 cluster
let 		 -> 19 cluster
allowed 		 -> 20 cluster
schools 		 -> 10 cluster
means 		 -> 20 cluster
turn 		 -> 20 cluster
leave 		 -> 20 cluster
no. 		 -> 2 cluster
robert 		 -> 8 cluster
personal 		 -> 10 cluster
stocks 		 -> 14 cluster
showed 		 -> 18 cluster
light 		 -> 4 cluster
arrested 		 -> 11 cluster
person 		 -> 16 cluster
either 		 -> 4 cluster
offer 		 -> 20 cluster
majority 		 -> 3 cluster
battle 		 -> 17 cluster
19 		 -> 1 cluster
class 		 -> 6 cluster
evidence 		 -> 11 cluster
makes 		 -> 19 cluster
society 		 -> 6 cluster
products 		 -> 14 cluster
regional 		 -> 10 cluster
needed 		 -> 20 cluster
stage 		 -> 18 cluster
am 		 -> 19 cluster
doing 		 -> 19 cluster
families 		 -> 9 cluster
construction 		 -> 10 cluster
various 		 -> 4 cluster
1996 		 -> 7 cluster
sold 		 -> 14 cluster
independent 		 -> 10 cluster
kind 		 -> 19 cluster
airport 		 -> 5 cluster
paul 		 -> 8 cluster
judge 		 -> 11 cluster
internet 		 -> 10 cluster
movement 		 -> 17 cluster
room 		 -> 16 cluster
followed 		 -> 18 cluster
original 		 -> 0 cluster
angeles 		 -> 8 cluster
italy 		 -> 15 cluster
` 		 -> 19 cluster
data 		 -> 10 cluster
comes 		 -> 19 cluster
parties 		 -> 3 cluster
nothing 		 -> 19 cluster
sea 		 -> 5 cluster
bring 		 -> 20 cluster
2012 		 -> 7 cluster
annual 		 -> 7 cluster
officer 		 -> 12 cluster
beijing 		 -> 13 cluster
present 		 -> 4 cluster
remain 		 -> 4 cluster
nato 		 -> 17 cluster
1999 		 -> 7 cluster
22 		 -> 1 cluster
remains 		 -> 4 cluster
allow 		 -> 20 cluster
florida 		 -> 8 cluster
computer 		 -> 10 cluster
21 		 -> 1 cluster
contract 		 -> 7 cluster
coast 		 -> 5 cluster
created 		 -> 6 cluster
demand 		 -> 13 cluster
operation 		 -> 17 cluster
events 		 -> 2 cluster
islamic 		 -> 17 cluster
beat 		 -> 2 cluster
analysts 		 -> 14 cluster
interview 		 -> 12 cluster
helped 		 -> 20 cluster
child 		 -> 16 cluster
probably 		 -> 19 cluster
spent 		 -> 9 cluster
asian 		 -> 13 cluster
effort 		 -> 20 cluster
cooperation 		 -> 15 cluster
shows 		 -> 0 cluster
calls 		 -> 20 cluster
investigation 		 -> 11 cluster
lives 		 -> 16 cluster
video 		 -> 0 cluster
yen 		 -> 14 cluster
runs 		 -> 18 cluster
tried 		 -> 20 cluster
bad 		 -> 19 cluster
described 		 -> 6 cluster
1994 		 -> 7 cluster
toward 		 -> 20 cluster
written 		 -> 0 cluster
throughout 		 -> 4 cluster
established 		 -> 6 cluster
mission 		 -> 15 cluster
associated 		 -> 4 cluster
buy 		 -> 14 cluster
growing 		 -> 13 cluster
green 		 -> 8 cluster
forward 		 -> 20 cluster
competition 		 -> 2 cluster
poor 		 -> 13 cluster
latest 		 -> 10 cluster
banks 		 -> 14 cluster
question 		 -> 20 cluster
1997 		 -> 7 cluster
prison 		 -> 11 cluster
feel 		 -> 19 cluster
attention 		 -> 20 cluster
